Duration,Budget,Reviews_by_Users,Reviews_by_Critics,IMDB_Score,Gross_Earnings
100,85000000,77,84,4.8,66941559
103,43000000,194,116,6,37035515
82,6000000,10,22,4,9821335
106,6500000,35,28,7.3,64148
220,57000000,183,85,5.8,15527125
152,60000000,822,149,7.9,32522352
102,7000000,1061,288,7.6,15047419
115,2000000,361,157,8.1,5383834
103,14000000,26,34,6.3,75078
103,8400000,110,62,6.1,5725
103,40000000,180,101,5.5,37752931
135,10000000,186,57,6.5,2185266
119,44000000,1308,174,2.4,21471685
93,48000000,254,125,6,37879996
90,6000000,340,119,7.5,18621249
99,30000000,148,100,5.1,117559438
110,5000000,433,151,7.7,21994911
107,40000000,188,100,5.1,29374178
120,8000000,246,132,7,16938179
90,15000000,457,160,4,26421314
94,16000000,134,67,5.3,20627372
98,10000000,385,139,5.9,68353550
114,10000000,133,81,7.2,447750
143,90000000,1051,221,7.7,233630478
87,10000000,150,90,6.2,1276984
115,18000000,210,68,6.7,17174870
94,92000000,643,181,5.5,125305545
84,45000000,358,187,7,106793915
121,25000000,498,152,7.3,71309760
96,250000,136,59,6.6,1050600
107,45000000,379,155,5.6,60786269
140,12800000,690,177,8,4157491
82,5000000,65,29,5.9,9628751
99,2000000,73,39,7.3,110000
82,127500000,241,145,6.5,137748063
91,9000000,173,64,4.9,20035310
99,28000000,365,122,4.9,33000377
96,16000000,148,84,5.6,15427192
83,13000000,469,106,5.5,46729374
112,15000000,123,65,6,4734235
131,52000000,498,169,7.3,125548685
87,100000,10,24,6.6,8741
98,23000000,674,211,6.7,53302314
136,43000000,297,137,7.3,51768623
118,31000000,510,168,7.3,44983704
90,42000,76,75,7.5,241816
102,40000000,284,102,5.1,14967182
171,103000000,2368,265,8.5,187670866
127,90000000,498,175,6.5,101643008
90,24000000,112,63,5.9,5108820
86,500000,74,46,6.5,1114943
101,10000000,91,49,5.7,1631839
94,60000000,130,82,4.7,36037909
96,15000000,162,44,5.1,10494147
113,20000000,602,174,7.6,27277055
101,15000000,355,90,4.6,12801190
119,95000000,628,180,5.7,73209340
110,123000000,482,175,6,260031035
114,34000000,61,52,5.6,6543194
95,36000000,64,63,5.3,2954405
128,30000000,259,148,6.4,37036404
90,1000000,16,13,5.7,112521
90,80000000,237,87,5.3,39442871
98,20000000,158,81,5.3,15464026
97,28000000,167,100,4.8,16779636
124,15000000,116,68,7.2,27441122
105,65000000,69,60,5,10014234
100,1000000,32,13,3.6,428535
116,51000000,481,155,6.5,90567722
108,55000000,507,150,7,166225040
113,9000000,2067,274,8.5,25530884
129,32000000,224,98,7.2,48814909
106,600000,16,15,5.6,171988
46,7000000,13,14,7.5,18642318
109,45000000,370,140,6.2,106807667
114,90000000,949,181,5.6,60874615
123,125000000,1426,237,6.1,215397307
95,5000000,149,79,7,34099640
98,9500000,84,55,6.1,57176582
114,1500000,125,94,7.9,1221261
110,24000000,263,156,6.3,25167270
109,65000000,171,94,4.3,123307945
107,26000000,862,197,7.8,45506619
124,15000000,32,22,6.6,17113
123,40000000,660,157,7.2,33508922
112,23000000,805,214,7.1,39235088
122,6000000,148,115,7,8596914
135,65000000,265,134,6.2,32598931
85,1500000,93,51,6.3,265107
124,13500000,314,132,7.4,7060876
107,24000000,101,51,5.3,12372410
106,70000000,348,145,5.7,17473245
124,34000000,212,126,5.7,23360779
120,30000000,402,157,7.8,115648585
102,4500000,1916,234,8.4,3609278
115,24000000,275,106,6.9,32662299
94,15600000,302,103,6.5,68525609
115,25000000,365,70,6.1,55973336
78,30000000,49,41,6.1,76501438
